nohup: ignoring input
range(0, 160)
Now: j= 13, i=156 | Poisson
Now: j= 13, i=157 | Poisson
Now: j= 13, i=158 | Poisson
Now: j= 14, i=155 | Poisson
Now: j= 14, i=156 | Poisson
Now: j= 14, i=157 | Poisson
Now: j= 14, i=158 | Poisson
Now: j= 14, i=159 | Poisson
Now: j= 14, i=160 | Poisson
Now: j= 15, i=155 | Poisson
Now: j= 15, i=156 | Poisson
Now: j= 15, i=157 | Poisson
Now: j= 15, i=158 | Poisson
Now: j= 15, i=159 | Poisson
Now: j= 15, i=160 | Poisson
Now: j= 15, i=161 | Poisson
Now: j= 16, i=155 | Poisson
Now: j= 16, i=156 | Poisson
Now: j= 16, i=157 | Poisson
Now: j= 16, i=158 | Poisson
Now: j= 16, i=159 | Poisson
Now: j= 16, i=160 | Poisson
Now: j= 16, i=161 | Poisson
Now: j= 17, i=155 | Poisson
Now: j= 17, i=156 | Poisson
Now: j= 17, i=157 | Poisson
Now: j= 17, i=158 | Poisson
Now: j= 17, i=159 | Poisson
Now: j= 17, i=160 | Poisson
Now: j= 17, i=161 | Poisson
Now: j= 17, i=162 | Poisson
Now: j= 18, i=156 | Poisson
Now: j= 18, i=157 | Poisson
Now: j= 18, i=158 | Poisson
Now: j= 18, i=159 | Poisson
Now: j= 18, i=160 | Poisson
Now: j= 18, i=161 | Poisson
Now: j= 18, i=162 | Poisson
Now: j= 18, i=163 | Poisson
Now: j= 19, i=157 | Poisson
Now: j= 19, i=158 | Poisson
Now: j= 19, i=159 | Poisson
Now: j= 19, i=160 | Poisson
Now: j= 19, i=161 | Poisson
Now: j= 19, i=162 | Poisson
Now: j= 19, i=163 | Poisson
Now: j= 21, i=160 | Poisson
Now: j= 21, i=161 | Poisson
Now: j= 22, i=159 | Poisson
Now: j= 22, i=160 | Poisson
Now: j= 22, i=161 | Poisson
Now: j= 23, i=159 | Poisson
Now: j= 23, i=160 | Poisson
Now: j= 24, i=159 | Poisson
Now: j= 24, i=160 | Poisson
Now: j= 25, i=125 | Poisson
Now: j= 25, i=126 | Poisson
Now: j= 25, i=160 | Poisson
Now: j= 25, i=161 | Poisson
Now: j= 25, i=162 | Poisson
Now: j= 26, i=121 | Poisson
Now: j= 26, i=122 | Poisson
Now: j= 26, i=125 | Poisson
Now: j= 26, i=126 | Poisson
Now: j= 26, i=149 | Poisson
Now: j= 26, i=150 | Poisson
Now: j= 26, i=152 | Poisson
Now: j= 26, i=156 | Poisson
Now: j= 26, i=157 | Poisson
Now: j= 26, i=158 | Poisson
Now: j= 26, i=159 | Poisson
Now: j= 26, i=160 | Poisson
Now: j= 26, i=161 | Poisson
Now: j= 26, i=162 | Poisson
Now: j= 26, i=163 | Poisson
Now: j= 26, i=164 | Poisson
Now: j= 26, i=165 | Poisson
Now: j= 26, i=166 | Poisson
Now: j= 26, i=167 | Poisson
Now: j= 26, i=170 | Poisson
Now: j= 27, i=120 | Poisson
Now: j= 27, i=121 | Poisson
Now: j= 27, i=122 | Poisson
Now: j= 27, i=123 | Poisson
Now: j= 27, i=124 | Poisson
Now: j= 27, i=125 | Poisson
Now: j= 27, i=126 | Poisson
Now: j= 27, i=148 | Poisson
Now: j= 27, i=149 | Poisson
Now: j= 27, i=150 | Poisson
Now: j= 27, i=151 | Poisson
Now: j= 27, i=152 | Poisson
Now: j= 27, i=153 | Poisson
Now: j= 27, i=154 | Poisson
Now: j= 27, i=155 | Poisson
Now: j= 27, i=156 | Poisson
Now: j= 27, i=157 | Poisson
Now: j= 27, i=158 | Poisson
Now: j= 27, i=159 | Poisson
Now: j= 27, i=160 | Poisson
Now: j= 27, i=161 | Poisson
Now: j= 27, i=162 | Poisson
Now: j= 27, i=163 | Poisson
Now: j= 27, i=164 | Poisson
Now: j= 27, i=165 | Poisson
Now: j= 27, i=166 | Poisson
Now: j= 27, i=167 | Poisson
Now: j= 27, i=168 | Poisson
Now: j= 27, i=169 | Poisson
Now: j= 27, i=170 | Poisson
Now: j= 28, i=117 | Poisson
Now: j= 28, i=118 | Poisson
Now: j= 28, i=119 | Poisson
Now: j= 28, i=120 | Poisson
Now: j= 28, i=121 | Poisson
Now: j= 28, i=122 | Poisson
Now: j= 28, i=123 | Poisson
Now: j= 28, i=124 | Poisson
Now: j= 28, i=125 | Poisson
Now: j= 28, i=147 | Poisson
Now: j= 28, i=148 | Poisson
Now: j= 28, i=149 | Poisson
Now: j= 28, i=150 | Poisson
Now: j= 28, i=151 | Poisson
Now: j= 28, i=152 | Poisson
Now: j= 28, i=153 | Poisson
Now: j= 28, i=154 | Poisson
Now: j= 28, i=155 | Poisson
Now: j= 28, i=156 | Poisson
Now: j= 28, i=157 | Poisson
Now: j= 28, i=158 | Poisson
Now: j= 28, i=159 | Poisson
Now: j= 28, i=160 | Poisson
Now: j= 28, i=161 | Poisson
Now: j= 28, i=162 | Poisson
Now: j= 28, i=163 | Poisson
Now: j= 28, i=164 | Poisson
Now: j= 28, i=165 | Poisson
Now: j= 28, i=166 | Poisson
Now: j= 28, i=167 | Poisson
Now: j= 28, i=168 | Poisson
Now: j= 28, i=169 | Poisson
Now: j= 28, i=170 | Poisson
Now: j= 28, i=171 | Poisson
Now: j= 28, i=172 | Poisson
Now: j= 28, i=203 | Poisson
Now: j= 29, i=117 | Poisson
Now: j= 29, i=118 | Poisson
Now: j= 29, i=119 | Poisson
Now: j= 29, i=120 | Poisson
Now: j= 29, i=121 | Poisson
Now: j= 29, i=122 | Poisson
Now: j= 29, i=123 | Poisson
Now: j= 29, i=124 | Poisson
Now: j= 29, i=125 | Poisson
Now: j= 29, i=126 | Poisson
Now: j= 29, i=146 | Poisson
Now: j= 29, i=147 | Poisson
Now: j= 29, i=148 | Poisson
Now: j= 29, i=149 | Poisson
Now: j= 29, i=150 | Poisson
Now: j= 29, i=151 | Poisson
Now: j= 29, i=152 | Poisson
Now: j= 29, i=153 | Poisson
Now: j= 29, i=154 | Poisson
Now: j= 29, i=155 | Poisson
Now: j= 29, i=156 | Poisson
Now: j= 29, i=157 | Poisson
Now: j= 29, i=158 | Poisson
Now: j= 29, i=159 | Poisson
Now: j= 29, i=160 | Poisson
Now: j= 29, i=161 | Poisson
Now: j= 29, i=162 | Poisson
Now: j= 29, i=163 | Poisson
Now: j= 29, i=164 | Poisson
Now: j= 29, i=165 | Poisson
Now: j= 29, i=166 | Poisson
Now: j= 29, i=167 | Poisson
Now: j= 29, i=168 | Poisson
Now: j= 29, i=169 | Poisson
Now: j= 29, i=170 | Poisson
Now: j= 29, i=171 | Poisson
Now: j= 29, i=172 | Poisson
Now: j= 29, i=173 | Poisson
Now: j= 29, i=174 | Poisson
Now: j= 29, i=202 | Poisson
Now: j= 29, i=203 | Poisson
Now: j= 30, i=117 | Poisson
Now: j= 30, i=118 | Poisson
Now: j= 30, i=119 | Poisson
Now: j= 30, i=120 | Poisson
Now: j= 30, i=121 | Poisson
Now: j= 30, i=122 | Poisson
Now: j= 30, i=123 | Poisson
Now: j= 30, i=124 | Poisson
Now: j= 30, i=125 | Poisson
Now: j= 30, i=126 | Poisson
Now: j= 30, i=127 | Poisson
Now: j= 30, i=128 | Poisson
Now: j= 30, i=129 | Poisson
Now: j= 30, i=131 | Poisson
Now: j= 30, i=132 | Poisson
Now: j= 30, i=135 | Poisson
Now: j= 30, i=147 | Poisson
Now: j= 30, i=148 | Poisson
Now: j= 30, i=149 | Poisson
Now: j= 30, i=150 | Poisson
Now: j= 30, i=151 | Poisson
Now: j= 30, i=152 | Poisson
Now: j= 30, i=153 | Poisson
Now: j= 30, i=154 | Poisson
Now: j= 30, i=155 | Poisson
Now: j= 30, i=156 | Poisson
Now: j= 30, i=157 | Poisson
Now: j= 30, i=158 | Poisson
